"","date","reproductive_rights","violence_against_women","professional_gap","feminism","men","intersectionality"
"1",2.7,2,20,1,212,9,15
"2",2.8,20,54,17,1036,26,71
"3",2.9,40,38,9,694,19,100
"4",2.1,33,51,32,393,27,189
"5",2.11,42,76,19,254,9,236
"6",2.12,200,76,26,256,34,447
"7",2.13,52,39,13,132,18,194
"8",2.14,31,45,4,70,13,83
"9",2.15,15,49,52,59,22,56
"10",2.18,55,16,45,60,7,80
"11",2.19,81,67,31,344,30,506
"12",2.2,42,60,45,186,37,496
"13",2.21,22,27,36,181,29,297
"14",2.22,24,53,36,117,17,118
"15",2.23,21,57,9,79,15,134
"16",2.24,21,49,44,415,12,222
"17",2.25,25,37,11,180,14,181
"18",2.26,21,44,19,121,17,118
"19",2.27,39,52,15,107,4,124
"20",2.28,35,69,12,90,42,152
"21",2.29,11,50,4,62,16,103
"22",3.1,31,30,21,113,19,144
"23",3.2,46,31,19,173,19,148
"24",3.3,15,28,27,108,21,110
"25",3.4,15,15,154,63,14,105
"26",3.5,10,30,106,82,16,124
"27",3.6,9,25,189,89,10,186
"28",3.7,96,62,50,1155,112,924
"29",3.8,371,32,33,781,21,270
"30",3.9,127,41,27,569,12,183
"31",3.1,68,41,31,195,35,178
"32",3.11,33,21,13,106,61,95
"33",3.12,18,58,18,150,37,352
"34",3.13,37,117,8,124,40,256
"35",3.14,54,103,43,119,26,183
"36",3.15,26,84,21,113,16,278
"37",3.16,17,31,11,94,40,93
"38",3.17,16,24,12,61,19,110
"39",3.18,10,31,17,61,13,100
"40",3.19,15,39,9,57,11,173
"41",3.2,14,32,7,58,8,79
"42",3.21,25,38,1,68,22,59
"43",3.22,16,46,5,52,8,81
"44",3.23,18,39,9,66,29,97
"45",3.24,50,22,4,72,12,52
"46",3.25,29,24,1,60,20,68
"47",3.26,15,27,13,74,48,164
"48",3.27,12,57,5,113,63,466
"49",3.28,19,31,7,142,42,493
"50",3.29,26,131,7,288,50,138
"51",3.3,122,40,10,98,31,524
"52",3.31,607,67,7,106,20,154
"53",4.1,246,56,15,126,36,361
"54",4.2,86,54,11,140,20,147
"55",4.3,94,92,8,96,27,112
"56",4.4,99,18,5,42,11,65
"57",4.5,31,26,35,58,15,39
"58",4.6,15,28,16,80,11,69
"59",4.7,32,44,16,177,13,63
"60",4.8,28,36,41,397,38,168
"61",4.9,31,82,25,240,25,87
"62",4.1,20,27,15,153,6,175
"63",4.11,30,61,11,95,17,97
"64",4.12,27,44,432,221,21,105
"65",4.13,18,32,226,79,34,107
"66",4.14,40,97,67,605,201,148
"67",4.15,321,58,50,198,46,175
"68",4.16,76,62,50,117,37,72
"69",4.17,21,53,49,157,53,99
"70",4.18,26,63,48,152,66,108
"71",4.19,73,60,81,262,45,90
"72",4.2,21,36,60,109,31,95
"73",4.21,23,40,45,81,20,60
"74",4.22,39,38,54,78,17,51
"75",4.23,30,16,45,75,15,53
"76",4.24,17,56,49,91,16,77
"77",4.25,22,29,36,104,23,42
"78",4.26,16,30,20,163,42,77
"79",4.27,17,24,12,179,16,61
"80",4.28,15,23,10,217,11,54
"81",4.29,18,34,5,206,12,38
"82",4.3,18,33,14,338,13,24
